2026-01-05 16:45:55.316 [main] INFO  o.s.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1069 ms
2026-01-05 16:45:56.046 [main] DEBUG o.s.ai.model.tool.autoconfigure.ToolCallingAutoConfiguration - Cannot load class: org.springframework.security.oauth2.client.ClientAuthorizationException
2026-01-05 16:45:56.480 [main] INFO  c.b.m.extension.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6e33c391
2026-01-05 16:45:56.749 [main] WARN  com.baomidou.mybatisplus.core.injector.methods.Insert - [com.hope.mapper.SysSocialUserMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2026-01-05 16:45:56.750 [main] WARN  com.baomidou.mybatisplus.core.injector.methods.Update - [com.hope.mapper.SysSocialUserMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
2026-01-05 16:45:56.780 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-01-05 16:45:56.787 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-01-05 16:45:56.793 [main] INFO  com.hope.TakeawayApplication - Started TakeawayApplication in 2.827 seconds (process running for 3.34)
2026-01-05 16:46:41.229 [SpringApplicationShutdownHook] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-01-05 16:46:41.312 [tomcat-shutdown] INFO  org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-01-05 16:49:04.581 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-01-05 16:49:04.609 [main] INFO  com.hope.TakeawayApplication - Starting TakeawayApplication using Java 17.0.12 with PID 19376 (D:\develop\code\springboot\takeaway\target\classes started by 3402351070 in D:\develop\code\springboot\takeaway)
2026-01-05 16:49:04.610 [main] INFO  com.hope.TakeawayApplication - No active profile set, falling back to 1 default profile: "default"
2026-01-05 16:49:05.183 [main] INFO  o.s.data.repository.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-01-05 16:49:05.185 [main] INFO  o.s.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-01-05 16:49:05.203 [main] INFO  o.s.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2026-01-05 16:49:05.675 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-01-05 16:49:05.683 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-01-05 16:49:05.689 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-01-05 16:49:05.689 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.44]
2026-01-05 16:49:05.727 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-01-05 16:49:05.727 [main] INFO  o.s.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1092 ms
2026-01-05 16:49:06.441 [main] DEBUG o.s.ai.model.tool.autoconfigure.ToolCallingAutoConfiguration - Cannot load class: org.springframework.security.oauth2.client.ClientAuthorizationException
2026-01-05 16:49:06.898 [main] INFO  c.b.m.extension.spring.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@d816dde
2026-01-05 16:49:07.178 [main] WARN  com.baomidou.mybatisplus.core.injector.methods.Insert - [com.hope.mapper.SysSocialUserMapper.insert] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Insert]
2026-01-05 16:49:07.179 [main] WARN  com.baomidou.mybatisplus.core.injector.methods.Update - [com.hope.mapper.SysSocialUserMapper.update] Has been loaded by XML or SqlProvider or Mybatis's Annotation, so ignoring this injection for [class com.baomidou.mybatisplus.core.injector.methods.Update]
